Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Single Ladies (Put a Ring on It),Beyoncé,I AM...SASHA FIERCE,2008,193213,4,0.426,0.584,1,-5.293,1,0.296,0.0383,0,0.188,0.272,193.437,66
bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019,194087,4,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,81
bury a friend,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019,193143,4,0.905,0.389,8,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,73
everything i wanted,Billie Eilish,everything i wanted,2019,245425,4,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,82
idontwannabeyouanymore,Billie Eilish,dont smile at me,2017,203569,3,0.483,0.412,7,-8.461,1,0.0402,0.737,0,0.116,0.247,170.163,77
lovely (with Khalid),Billie Eilish,lovely (with Khalid),2018,200185,4,0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,87
my future,Billie Eilish,my future,2020,208155,4,0.444,0.309,8,-10.956,1,0.062,0.795,0.132,0.352,0.0875,104.745,67
Therefore I Am,Billie Eilish,Happier Than Ever,2020,173539,4,0.879,0.365,2,-7.781,1,0.0924,0.227,0.135,0.0583,0.663,94.016,72
when the party's over,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2018,196077,4,0.367,0.111,4,-14.084,1,0.0972,0.978,0.0000397,0.0897,0.198,82.642,83
Your Power,Billie Eilish,Happier Than Ever,2021,245896,4,0.632,0.284,9,-14.025,0,0.0801,0.932,0.000476,0.233,0.208,129.642,72
Bartier Cardi (feat. 21 Savage),Cardi B,Invasion of Privacy,2017,224284,4,0.908,0.524,1,-7.955,1,0.181,0.00111,0.000678,0.383,0.109,138.015,60
Be Careful,Cardi B,Invasion of Privacy,2018,210787,4,0.82,0.568,6,-8.23,0,0.411,0.0256,0,0.0952,0.535,152.279,67
Bodak Yellow,Cardi B,Invasion of Privacy,2017,223712,4,0.926,0.703,11,-6.337,0,0.103,0.0659,0,0.231,0.485,125.022,70
Drip (feat. Migos),Cardi B,Invasion of Privacy,2018,262308,4,0.968,0.589,11,-7.808,1,0.255,0.0511,0,0.0731,0.268,129.993,54
I Like It,Cardi B,Invasion of Privacy,2018,253390,4,0.816,0.726,5,-3.998,0,0.129,0.099,0,0.372,0.65,136.048,77
Money,Cardi B,Money,2018,183527,4,0.95,0.59,8,-6.508,0,0.29,0.00534,0,0.11,0.219,130.003,69
Please Me,Cardi B,Please Me,2019,200889,4,0.747,0.57,1,-6.711,1,0.081,0.0642,0,0.0832,0.65,133.992,75
Press,Cardi B,Press,2020,143791,4,0.888,0.525,1,-5.665,1,0.305,0.029,0.00000568,0.137,0.243,133.983,61
Up,Cardi B,Up,2021,156944,4,0.868,0.795,11,-6.044,1,0.269,0.0012,0.0193,0.0461,0.819,166,65
WAP (feat. Megan Thee Stallion),Cardi B,WAP (feat. Megan Thee Stallion),2020,187541,4,0.935,0.454,1,-7.509,1,0.375,0.0194,0,0.0824,0.357,133.073,77
Fine China,Chris Brown,X (Expanded Edition),2019,213200,4,0.654,0.731,10,-4.767,0,0.0568,0.0419,0,0.122,0.59,104.002,61
Forever,Chris Brown,Forever,2019,278573,4,0.672,0.82,11,-4.456,1,0.0459,0.0368,0.000188,0.184,0.438,120.005,76
Kiss Kiss (feat. T-Pain),Chris Brown,Exclusive (Expanded Edition),2008,250666,3,0.729,0.658,10,-3.386,0,0.225,0.0506,0,0.0693,0.551,140.043,74
Loyal (feat. Lil Wayne & Tyga),Chris Brown,X (Expanded Edition),2018,264946,4,0.841,0.522,10,-5.963,0,0.049,0.0168,0.00000137,0.188,0.616,99.059,74
No Guidance (feat. Drake),Chris Brown,Indigo,2019,260640,4,0.696,0.454,1,-6.756,0,0.153,0.123,0,0.155,0.136,92.928,76
Run It! (feat. Juelz Santana),Chris Brown,Chris Brown (Expanded Edition),2005,229866,4,0.846,0.482,1,-6.721,0,0.129,0.0246,0,0.393,0.212,100.969,73
Strip (feat. Kevin McCall),Chris Brown,Fortune (Expanded Edition),2018,167813,4,0.803,0.79,1,-4.353,1,0.125,0.00863,0,0.0441,0.712,94.982,57
With You,Chris Brown,Exclusive (Expanded Edition),2007,252120,4,0.662,0.693,3,-4.298,1,0.0698,0.134,0,0.145,0.655,86.009,75
Yeah 3x,Chris Brown,F.A.M.E. (Expanded Edition),2010,241666,4,0.705,0.882,11,-3.201,0,0.0445,0.000369,0.00000116,0.0934,0.7,130,67
Almost There,Coco Jones,Almost There,2023,238070,4,0.57,0.512,0,-6.725,1,0.0518,0.0715,0.0000842,0.1,0.295,82.568,49
Beautiful Interlude,Coco Jones,SuperSoulSista (Limited Edition),2023,37306,4,0.66,0.334,4,-12.621,1,0.879,0.452,0,0.335,0.418,88.774,0
Double Back,Coco Jones,What I Didn’t Tell You (Deluxe),2023,159244,4,0.669,0.55,4,-5.352,0,0.108,0.203,0,0.127,0.133,79.99,55
Here We Go (Uh Oh),Coco Jones,Here We Go (Uh Oh),2023,216507,3,0.401,0.749,3,-2.341,0,0.17,0.322,0.000161,0.117,0.474,177.165,65
ICU,Coco Jones,What I Didn’t Tell You (Deluxe),2022,241624,3,0.587,0.447,8,-6.765,1,0.0641,0.698,0,0.113,0.315,124.669,65
Sweep It Up,Coco Jones,Sweep It Up,2023,197958,4,0.508,0.689,1,-3.265,0,0.0764,0.137,0,0.18,0.528,79.907,51
Dirt Cheap,Cody Johnson,Leather,2022,239346,4,0.62,0.507,1,-5.891,1,0.0307,0.111,0,0.101,0.266,120.065,74
Human,Cody Johnson,Human The Double Album,2021,221520,4,0.4,0.647,2,-7.279,1,0.0337,0.176,0.0000579,0.11,0.274,84.08,67
Long Haired Country Boy (feat. The Rockin' CJB),Cody Johnson,Ain't Nothin' to It,2023,257079,4,0.539,0.786,6,-4.884,1,0.0269,0.00228,0.0000179,0.121,0.503,88.969,53
Me and My Kind,Cody Johnson,Cowboy Like Me,2016,156200,4,0.588,0.807,2,-3.426,1,0.0283,0.0835,0,0.109,0.674,110.014,75
Monday Morning Merle,Cody Johnson,Ain't Nothin' to It,2023,229120,4,0.596,0.58,2,-6.318,1,0.0229,0.257,0.000102,0.196,0.409,93.979,50
Nothin' on You,Cody Johnson,Ain't Nothin' to It,2018,260466,3,0.358,0.358,6,-7.18,1,0.0307,0.566,0.000232,0.104,0.158,134.629,63
On My Way to You,Cody Johnson,Ain't Nothin' to It,2019,213306,4,0.443,0.538,1,-5.477,1,0.0309,0.327,0.0000461,0.0866,0.245,157.97,63
The Painter,Cody Johnson,The Painter,2022,211413,4,0.512,0.709,2,-5.766,1,0.0329,0.0415,0.00000425,0.107,0.261,97.981,69
Til You Can't,Cody Johnson,Human The Double Album,2021,224213,4,0.501,0.815,1,-4.865,1,0.0436,0.0513,0,0.106,0.46,160.087,73
BIG PURR (Prrdd) (feat. Pooh Shiesty),Coi Leray,BIG PURR (Prrdd),2021,116760,4,0.774,0.412,1,-8.619,1,0.378,0.026,0,0.088,0.38,139.943,46
Blick Blick (with Nicki Minaj),Coi Leray,Blick Blick,2022,178413,4,0.916,0.824,8,-4.444,0,0.422,0.222,0.00108,0.0661,0.87,139.926,51
No More Parties,Coi Leray,No More Parties,2021,140920,4,0.847,0.405,11,-10.901,1,0.584,0.232,0.00000537,0.0944,0.588,156.999,46
Players,Coi Leray,Players,2022,139560,4,0.948,0.512,6,-5.74,0,0.146,0.0269,0.00000857,0.0504,0.599,105.004,71
TWINNEM,Coi Leray,TWINNEM,2021,117066,4,0.885,0.353,2,-10.484,1,0.0912,0.0866,0.0000578,0.173,0.316,134.079,47
Break Up in the End,Cole Swindell,All of It,2018,199693,4,0.507,0.372,1,-8.433,1,0.0303,0.481,0,0.271,0.257,86.422,61
Chillin' It,Cole Swindell,Cole Swindell,2013,196746,4,0.576,0.849,9,-3.057,1,0.0386,0.511,0.0000389,0.109,0.666,137.982,64
Forever To Me,Cole Swindell,Forever To Me,2019,179666,4,0.56,0.555,10,-7.612,1,0.0318,0.166,0,0.0837,0.328,153.986,60
I'm Gonna Let Her,Cole Swindell,I'm Gonna Let Her,2018,176666,4,0.412,0.586,7,-4.572,1,0.0318,0.292,0.00000366,0.128,0.3,79.234,29
Love You Too Late,Cole Swindell,All of It,2019,204720,4,0.542,0.797,9,-4.45,0,0.0379,0.00111,0,0.0906,0.593,113.95,54
She Had Me At Heads Carolina,Cole Swindell,Stereotype,2022,206106,4,0.607,0.912,8,-3.449,1,0.0611,0.124,0,0.332,0.722,134.944,74
Somebody's Been Drinkin',Cole Swindell,All of It,2021,225266,4,0.481,0.775,0,-5.494,1,0.0597,0.0169,0.0000139,0.0978,0.273,136.035,39
Stay Downtown,Cole Swindell,You Should Be Here,2021,201866,4,0.336,0.758,5,-4.187,1,0.0451,0.00275,0,0.189,0.236,77.807,42
You Should Be Here,Cole Swindell,You Should Be Here,2016,190173,4,0.489,0.641,7,-4.455,1,0.0282,0.0592,0,0.0857,0.303,136.095,61
Never Ready,Corey Kent,Never Ready,2022,281306,4,0.478,0.653,8,-7.058,1,0.0312,0.0819,0,0.106,0.348,152.005,56
Now or Never (feat. Lauren Alaina),Corey Kent,Now or Never (feat. Lauren Alaina),2022,174946,4,0.478,0.768,7,-4.784,1,0.0342,0.102,0,0.101,0.465,110.046,55
Rust,Corey Kent,Rust,2022,169720,4,0.469,0.813,1,-4.875,0,0.0422,0.00714,0,0.131,0.406,120.894,59
Something's Gonna Kill Me,Corey Kent,Blacktop,2022,183680,4,0.659,0.823,4,-5.77,0,0.0415,0.0174,0.00000182,0.11,0.405,112.931,65
This Heart,Corey Kent,This Heart,2022,186973,4,0.406,0.843,10,-5.124,0,0.0526,0.0889,0,0.158,0.271,150.054,68
